Attack,Defense,HP,ID,Image,Name,Sp_Atk,Sp_Def,Speed,Total,Type
49,49,45,0001,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,65,65,45,318,Grass
62,63,60,0002,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,80,80,60,405,Poison
82,83,80,0003,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,100,100,80,525,Grass
100,123,80,0003,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur,122,120,80,625,Poison
52,43,39,0004,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,60,50,65,309,Grass
64,58,58,0005,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,80,65,80,405,Poison
84,78,78,0006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,109,85,100,534,Grass
130,111,78,0006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard,130,85,100,634,Poison
104,78,78,0006,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard,159,115,100,634,Fire
48,65,44,0007,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,50,64,43,314,Fire
63,80,59,0008,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,65,80,58,405,Fire
83,100,79,0009,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,85,105,78,530,Flying
103,120,79,0009,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise,135,115,78,630,Fire
30,35,45,0010,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,20,20,45,195,Dragon
20,55,50,0011,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,25,25,30,205,Fire
45,50,60,0012,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,90,80,70,395,Flying
35,30,40,0013,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,20,20,50,195,Water
25,50,45,0014,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,25,25,35,205,Water
90,40,65,0015,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,45,80,75,395,Water
150,40,65,0015,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill,15,80,145,495,Water
45,40,40,0016,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,35,35,56,251,Bug
60,55,63,0017,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,50,50,71,349,Bug
80,75,83,0018,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,70,70,101,479,Bug
80,80,83,0018,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot,135,80,121,579,Flying
56,35,30,0019,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,25,35,72,253,Bug
56,35,30,0019,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,25,35,72,253,Poison
81,60,55,0020,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,Raticate,50,70,97,413,Bug
71,70,75,0020,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,Raticate,40,80,77,413,Poison
60,30,40,0021,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,Spearow,31,31,70,262,Bug
90,65,65,0022,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,Fearow,61,61,100,442,Poison
60,44,35,0023,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,Ekans,40,54,55,288,Bug
95,69,60,0024,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,Arbok,65,79,80,448,Poison
55,40,35,0025,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Pikachu,50,50,90,320,Normal
80,50,45,0025,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,Pikachu,75,60,120,430,Flying
90,55,60,0026,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Raichu,90,80,110,485,Normal
85,50,60,0026,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,Raichu,95,85,110,485,Flying
75,85,50,0027,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Sandshrew,20,30,40,300,Normal
75,90,50,0027,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,Sandshrew,10,35,40,300,Flying
100,110,75,0028,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Sandslash,45,55,65,450,Normal
100,120,75,0028,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,Sandslash,25,65,65,450,Flying
47,52,55,0029,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,Nidoran♀,40,40,41,275,Normal
62,67,70,0030,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Nidorina,55,55,56,365,Dark
92,87,90,0031,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Nidoqueen,75,85,76,505,Normal
57,40,46,0032,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,Nidoran♂,40,40,50,273,Normal
72,57,61,0033,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Nidorino,55,55,65,365,Dark
102,77,81,0034,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Nidoking,85,75,85,505,Normal
45,48,70,0035,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Clefairy,60,65,35,323,Normal
70,73,95,0036,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Clefable,95,90,60,483,Flying
41,40,38,0037,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Vulpix,50,65,65,299,Normal
41,40,38,0037,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,Vulpix,50,65,65,299,Flying
76,75,73,0038,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Ninetales,81,100,100,505,Poison
67,75,73,0038,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Ninetales,81,100,109,505,Poison
45,20,115,0039,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Jigglypuff,45,25,20,270,Electric
70,45,140,0040,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Wigglytuff,85,50,45,435,Electric
45,35,40,0041,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Zubat,30,40,55,245,Electric
80,70,75,0042,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Golbat,65,75,90,455,Electric
50,55,45,0043,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Oddish,75,65,30,320,Psychic
65,70,60,0044,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Gloom,85,75,40,395,Ground
80,85,75,0045,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Vileplume,110,90,50,490,Ice
70,55,35,0046,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,Paras,45,55,25,285,Steel
95,80,60,0047,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,Parasect,60,80,30,405,Ground
55,50,60,0048,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,Venonat,40,55,45,305,Ice
65,60,70,0049,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,Venomoth,90,75,90,450,Steel
55,25,10,0050,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Diglett,35,45,95,265,Poison
